ImageID,ans
cbc5c6e168e63498590db46022617123f1fe1268.jpg,[0.9972562  0.00274377]
0e72482bf56b3581c081f7da2a6180b8792c7089.jpg,[0.99756444 0.00243563]
b549040c49190cedc41327748aeb197c1670f14d.jpg,[0.99602085 0.00397913]
4f9cb2a045c6d5b9e50ad3459ea7b791eb6e18bc.jpg,[0.997736   0.00226402]
248428d9a4a5b6229a7081c32851b90cb8d38d0c.jpg,[0.99714017 0.00285981]
7953c2e6e983bad91b89a0e4ad7eb69e6e43e56b.jpg,[0.9981375  0.00186249]
1903db7dcc1262d0441677afa422e6a8371e5b37.jpg,[0.9916366  0.00836339]
441419a874f4d031cd576850b68539ca7d35bedf.jpg,[0.9801564  0.01984357]
388856cd1ef99b1918273a827a75f2aff2478321.jpg,[0.00244954 0.9975504 ]
795ba8ccc769a3f9da6a897f75df6706b729345b.jpg,[0.00204286 0.9979571 ]
9028e8c54f80096bf4e43390caf003f64c90e5ce.jpg,[0.996725   0.00327499]
78900cfc8a2bb5cb69c60bdef92b173a8a48c8ec.jpg,[0.00290827 0.99709165]
cba23bf8b02a8ddc470db8799fef62220819737e.jpg,[0.9974819  0.00251819]
d3921eae9f9a45d89f0bd1ea0e71354178481245.jpg,[0.00457296 0.995427  ]
4d796a1ccf67a49c465e2b6b79a2caf8228adbca.jpg,[0.9978156 0.0021844]
69ad31adcc3e6e8de7af886e970233fa61699045.jpg,[0.00243744 0.9975625 ]
b1b1aa65544324d9ebc89b3deb4a714f4d1d7ea3.jpg,[0.99577796 0.00422204]
6aa8e1282c5303e18101e3dede784dd1f5c076a0.jpg,[0.9952544  0.00474559]
7665a0a126eec039d2c8baf9c6eedc004738c128.jpg,[0.99623126 0.00376876]
91598d7dad0122459e004ecd8a4e745acbd63101.jpg,[0.9908313  0.00916861]
d352bb22eca23e75e710b427ae831a867dd37bfb.jpg,[0.0111885 0.9888115]
0401671e6a939afe97d6c30bc820fbfe9519286a.jpg,[0.99659973 0.00340031]
6ed93c0c3aa7ca9f0bb7e6b53a99aaa0a3609d50.jpg,[0.9644443  0.03555572]
50dda278ed4e5c43ab5a99592808f11027afa240.jpg,[0.99715304 0.00284688]
5ca8adbab5a39b3c7e725782f98d199202c589dc.jpg,[0.9967405  0.00325954]
a945a8c50f05708c42839692219bd1963672154a.jpg,[0.9928699  0.00713013]
359acb7465396d70b6957be3a4cd503a7aa8b5de.jpg,[0.00231435 0.9976857 ]
b188cd918519b3dc486ec7a0b04d268f6f262021.jpg,[0.9942624 0.0057376]
0abc5c0454095bf4519bd5c1fcbc0924fbce65d2.jpg,[0.9975076 0.0024924]
14e53aafa9cc2e32f1dc10b83c5183488e0cb080.jpg,[0.9960764  0.00392363]
27aaee870ff9b03c23d6b9f163aba027a06032c6.jpg,[0.99645555 0.00354444]
fa025619390a5097dafb1fe3601dc6dec4644bce.jpg,[0.00282668 0.9971733 ]
c9ba7099501f4088602606671dd71fd76a2adee5.jpg,[0.00225099 0.99774903]
4702037fc73744daef1a4a6253895886f86808b8.jpg,[0.00305185 0.9969482 ]
e7d4a815cbf2dd60aaf5f764be67f656cf7e5b19.jpg,[0.41040304 0.5895969 ]
c9649b4efc18ea0e1d6e16bd23cb8ccddfaf0d0b.jpg,[0.9282069  0.07179306]
0906805463eda250aedc1c43e4db25075c1244be.jpg,[0.94759846 0.05240154]
acfb5e9c18ede13e4cdc7da0a15db777a490d782.jpg,[0.99510527 0.00489479]
d67f11372df1ff081aa8437da1acf73419a85782.jpg,[0.9943328  0.00566722]
53599d652f6253baa02940b895620f147a2327f7.jpg,[0.9958691  0.00413091]
c4b59a685cbb0bf9a275f6f757e509eb47e3b97b.jpg,[0.9971391  0.00286097]
